,enso,otters,macrocystis,pterygophera,understory_kelp,brownalgae,cystoseira,s_franciscanus,s_purpuratus,patiria,other_stars,pisaster,pycnopodia,bivalve,megastraea,anemone,other_cucs,parastichopus,abalone
enso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
otters,U,U,P,NA,NA,NA,NA,P,P,P,P,P,P,P,P,NA,NA,P,P
macrocystis,U,NA,U,N,N,N,N,N,N,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
pterygophera,U,NA,N,U,U,N,N,N,N,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
understory_kelp,U,NA,N,U,U,N,N,N,N,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
brownalgae,U,NA,N,N,N,U,N,N,N,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
cystoseira,U,NA,N,N,N,N,U,N,N,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
s_franciscanus,U,N,P,P,P,P,P,U,N,NA,NA,NA,N,NA,N,NA,NA,NA,U
s_purpuratus,U,N,P,P,P,P,P,N,U,NA,NA,NA,N,NA,N,NA,NA,NA,U
patiria,U,N,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,N,NA,NA,NA,NA,NA,NA
other_stars,U,N,NA,NA,NA,NA,NA,NA,NA,NA,U,N,N,P,NA,NA,NA,NA,NA
pisaster,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,N,P,P,NA,NA,NA,P
pycnopodia,U,N,NA,NA,NA,NA,NA,P,P,NA,U,N,U,P,P,NA,NA,NA,P
bivalve,U,N,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,U,NA,N,NA,NA,NA
megastraea,U,N,P,P,P,P,P,N,N,NA,N,N,N,NA,U,N,NA,NA,U
anemone,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,P,U,NA,NA,NA
other_cucs,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,U,NA,NA
parastichopus,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,U,NA
abalone,U,N,NA,NA,NA,NA,NA,U,U,NA,NA,N,N,NA,N,NA,NA,NA,U